SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
82000.0,8.0,2.0,1.0,6.0,,3.0,3.0,2.0,73.0,,,1.0,1.0,,5.397605346934028e-79,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,5.0,5.0,1.0,2.0,5.397605346934028e-79,2.0,32.0,1.0,4.0,1.0,5.0,28873.832513,31527.720266,1.0,110.0,14.0,14.0,3.26
82001.0,8.0,2.0,1.0,50.0,,3.0,3.0,2.0,,2.0,,2.0,1.0,6.0,,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,1.0,5.397605346934028e-79,1.0,50.0,2.0,1.0,1.0,4.0,64029.584493,64573.731725,2.0,110.0,9.0,9.0,2.52
82002.0,8.0,2.0,2.0,28.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,5.397605346934028e-79,2.0,1.0,30.0,1.0,5.0,1.0,4.0,111249.667369,113696.157603,1.0,105.0,15.0,15.0,5.0
82003.0,8.0,2.0,2.0,22.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,26.0,1.0,4.0,5.0,,83694.810893,84087.051575,1.0,109.0,15.0,15.0,5.0
82007.0,8.0,2.0,2.0,55.0,,3.0,3.0,1.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,55.0,1.0,2.0,1.0,3.0,38441.864976,41029.748777,1.0,113.0,5.0,5.0,1.29
82009.0,8.0,1.0,2.0,8.0,,3.0,3.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,1.0,1.0,5.397605346934028e-79,2.0,19.0,1.0,4.0,,,25027.732439,5.397605346934028e-79,1.0,115.0,3.0,3.0,0.43
82010.0,8.0,1.0,2.0,36.0,,3.0,3.0,,,2.0,,1.0,1.0,,,5.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,4.0,1.0,5.397605346934028e-79,2.0,2.0,69.0,1.0,5.0,1.0,5.0,107737.369017,5.397605346934028e-79,1.0,105.0,15.0,15.0,5.0
82011.0,8.0,2.0,1.0,31.0,,3.0,3.0,1.0,,2.0,,2.0,2.0,4.0,,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,2.0,2.0,5.397605346934028e-79,2.0,35.0,2.0,4.0,1.0,4.0,49904.10011,52505.753206,1.0,108.0,14.0,14.0,2.85
82012.0,8.0,2.0,2.0,71.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,2.0,71.0,1.0,3.0,1.0,4.0,65674.371421,69839.247293,2.0,109.0,8.0,8.0,3.18
82014.0,8.0,2.0,1.0,12.0,,3.0,3.0,2.0,145.0,,,1.0,1.0,,5.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0,45.0,1.0,3.0,3.0,,33997.724063,35206.351058,1.0,113.0,6.0,6.0,1.28
