SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
86678.0,9.0,2.0,1.0,5.397605346934028e-79,6.0,4.0,4.0,2.0,6.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79,2.0,42.0,1.0,5.0,5.0,,9664.130173,10125.661676,2.0,129.0,99.0,99.0,
86683.0,9.0,1.0,1.0,44.0,,4.0,4.0,,,2.0,,2.0,1.0,5.0,,4.0,1.0,,1.0,2.0,2.0,,,,,,,,5.0,5.0,5.397605346934028e-79,1.0,1.0,1.0,44.0,2.0,4.0,1.0,,16574.661871,5.397605346934028e-79,1.0,124.0,,,
86686.0,9.0,2.0,2.0,37.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,5.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,5.397605346934028e-79,1.0,35.0,1.0,5.0,6.0,,38056.510411,36876.685959,1.0,132.0,14.0,14.0,3.09
86689.0,9.0,2.0,2.0,30.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,7.0,7.0,3.0,1.0,1.0,2.0,60.0,,,1.0,,19516.023668,19553.143082,1.0,125.0,2.0,2.0,0.18
86690.0,9.0,2.0,2.0,10.0,,4.0,4.0,1.0,121.0,,,1.0,1.0,,3.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,1.0,5.397605346934028e-79,2.0,28.0,1.0,4.0,5.0,,7337.265088,7322.850492,2.0,133.0,6.0,6.0,2.0
86692.0,9.0,2.0,1.0,80.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,1.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,80.0,1.0,1.0,2.0,,13779.979256,14340.523275,1.0,125.0,99.0,99.0,
86694.0,9.0,2.0,2.0,10.0,,4.0,4.0,2.0,130.0,,,1.0,1.0,,4.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.397605346934028e-79,3.0,5.397605346934028e-79,1.0,47.0,1.0,3.0,1.0,5.0,12408.965162,12471.270297,2.0,131.0,8.0,8.0,1.76
86697.0,9.0,2.0,2.0,42.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,7.0,5.0,5.397605346934028e-79,4.0,5.397605346934028e-79,2.0,42.0,1.0,5.0,5.0,,18444.446012,19079.635179,2.0,131.0,5.0,2.0,0.21
86707.0,9.0,2.0,2.0,30.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,7.0,7.0,1.0,4.0,5.397605346934028e-79,1.0,32.0,1.0,4.0,1.0,4.0,29210.824064,28305.23277,1.0,126.0,8.0,8.0,1.36
86713.0,9.0,2.0,1.0,65.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,2.0,61.0,1.0,4.0,1.0,3.0,10716.184198,10648.861137,1.0,123.0,77.0,77.0,
